OG0000000	+0	-4	+11	+2	-20	+6	-14	+27	-3	+0	+0
OG0000001	+0	-4	+2	+1	-18	+6	-4	+5	-2	+0	+0
OG0000002	+0	+4	-4	+0	-10	+4	+8	-2	-1	+0	+0
OG0000003	-1	+3	+1	-1	-11	+4	+3	+0	-2	+0	+0
OG0000004	+0	+1	+9	-2	-12	+1	+1	+1	-5	+0	+0
OG0000005	+0	-1	+3	+1	-13	+8	-10	+10	-1	+0	+0
OG0000006	+0	-2	-1	+15	-9	+3	-5	+7	-1	+0	+0
OG0000008	-1	+0	-7	+19	-11	+30	-5	+1	+1	+0	+0
OG0000010	-1	+0	-1	+0	+41	-4	-6	+0	+7	+0	+0
OG0000012	-6	+17	+5	-1	+0	+0	+2	+1	-10	+0	+0
OG0000020	+3	-4	+0	+2	-1	+0	+0	+7	-10	+0	+0
OG0000025	-2	+0	-3	+38	-4	+2	-2	+3	+0	+0	+0
OG0000026	+0	+0	-2	+2	-6	+14	+0	+0	+0	+0	+0
OG0000037	-3	+0	-1	+12	-6	+1	-1	+4	-1	+0	+0
OG0000042	+0	+4	+0	+0	+0	-3	+15	-4	+0	+0	+0
OG0000056	-4	+4	-3	+26	-1	+0	+0	+1	-3	+0	+0
OG0000057	+0	+0	+0	+12	-1	+0	-1	+7	-3	+0	+0
OG0000060	-2	+0	-1	+0	-5	+18	+0	+0	+0	+0	+0
OG0000068	+0	-1	-2	+26	-2	+0	+0	+1	-1	+0	+0
OG0000088	-3	+3	-3	+19	-1	+0	+0	+1	-3	+0	+0
OG0000092	+0	+0	+0	+1	-4	+24	-3	+0	+1	+0	+0
OG0000094	+0	-1	+28	-2	-2	+0	+0	+0	+0	+0	+0
OG0000101	+0	+0	+1	-1	-3	+18	-4	+0	+1	+0	+0
OG0000106	+0	+0	-2	+1	-1	+15	-3	+0	+3	+0	+0
OG0000124	+0	+0	+3	-1	-2	+15	-3	+0	+1	+0	+0
OG0000162	+0	-1	-1	+0	-1	+13	+0	+0	+2	+0	+0
OG0000314	+0	+0	-1	+16	-1	+0	-1	+0	+0	+0	+0
OG0000339	+0	+0	-1	+14	-1	+1	-1	+0	+0	+0	+0
OG0000353	+0	+0	-1	+1	-2	+11	-2	+0	+0	+0	+0
OG0000434	+0	+0	+0	-1	-1	+12	-1	+0	+0	+0	+0
OG0000497	+0	+0	-1	+0	-1	+13	-1	+0	+0	+0	+0
