#FamilyID	pvalue	Significant at 0.05
OG0000576	0	y
OG0000577	0	y
OG0000582	0.006	y
OG0000583	0	y
OG0000585	0	y
OG0000595	0.006	y
OG0000596	0.002	y
OG0000602	0.031	y
OG0000607	0	y
OG0000610	0.005	y
OG0000613	0.005	y
OG0000615	0	y
OG0000617	0.031	y
OG0000626	0	y
OG0000627	0	y
OG0000628	0	y
OG0000631	0	y
OG0000633	0.025	y
OG0000635	0	y
OG0000638	0.005	y
OG0000639	0.02	y
OG0000642	0.022	y
OG0000646	0.001	y
OG0000649	0.002	y
OG0000654	0	y
OG0000658	0.005	y
OG0000659	0	y
OG0000660	0.025	y
OG0000661	0	y
OG0000669	0	y
OG0000674	0.001	y
OG0000675	0	y
OG0000676	0.006	y
OG0000678	0.006	y
OG0000683	0	y
OG0000689	0	y
OG0000691	0.024	y
OG0000697	0	y
OG0000701	0.025	y
OG0000703	0.001	y
OG0000707	0.002	y
OG0000711	0	y
OG0000716	0	y
OG0000717	0	y
OG0000718	0.006	y
OG0000719	0.043	y
OG0000723	0.006	y
OG0000727	0.006	y
OG0000730	0.001	y
OG0000733	0.005	y
OG0000735	0.005	y
OG0000737	0.001	y
OG0000738	0.001	y
OG0000739	0.013	y
OG0000740	0.005	y
OG0000741	0.008	y
OG0000744	0.042	y
OG0000745	0	y
OG0000746	0.01	y
OG0000748	0.019	y
OG0000749	0.001	y
OG0000756	0	y
OG0000757	0.005	y
OG0000758	0.005	y
OG0000760	0.009	y
OG0000761	0.002	y
OG0000762	0.048	y
OG0000767	0.002	y
OG0000768	0.001	y
OG0000771	0	y
OG0000773	0.006	y
OG0000774	0	y
OG0000776	0	y
OG0000778	0	y
OG0000780	0	y
OG0000782	0	y
OG0000783	0.006	y
OG0000785	0	y
OG0000786	0.005	y
OG0000788	0	y
OG0000789	0.009	y
OG0000790	0.022	y
OG0000797	0.007	y
OG0000802	0.005	y
OG0000803	0.048	y
OG0000804	0.002	y
OG0000805	0	y
OG0000817	0.005	y
OG0000818	0.015	y
OG0000823	0	y
OG0000824	0.008	y
OG0000825	0.006	y
OG0000828	0.042	y
OG0000829	0	y
OG0000830	0	y
OG0000831	0.019	y
OG0000836	0	y
OG0000837	0	y
OG0000838	0.021	y
OG0000839	0.006	y
OG0000843	0	y
OG0000849	0.002	y
OG0000851	0.005	y
OG0000854	0.048	y
OG0000855	0.025	y
OG0000857	0.01	y
OG0000858	0	y
OG0000859	0	y
OG0000860	0.011	y
OG0000861	0.009	y
OG0000864	0.042	y
OG0000866	0	y
OG0000867	0	y
OG0000869	0.005	y
OG0000872	0.005	y
OG0000876	0.043	y
OG0000880	0	y
OG0000881	0.001	y
OG0000883	0	y
OG0000884	0	y
OG0000885	0.043	y
OG0000888	0	y
OG0000889	0	y
OG0000890	0.005	y
OG0000895	0	y
OG0000898	0.005	y
OG0000900	0.007	y
OG0000901	0	y
OG0000902	0.024	y
OG0000903	0	y
OG0000904	0	y
OG0000905	0	y
OG0000906	0	y
OG0000909	0.002	y
OG0000912	0.009	y
OG0000914	0	y
OG0000915	0.002	y
OG0000920	0	y
OG0000922	0	y
OG0000923	0.046	y
OG0000924	0.01	y
OG0000926	0	y
OG0000928	0.006	y
OG0000930	0.048	y
OG0000935	0.042	y
OG0000939	0.005	y
OG0000940	0	y
OG0000941	0.043	y
OG0000946	0	y
OG0000947	0	y
OG0000948	0.012	y
OG0000949	0	y
OG0000951	0.005	y
OG0000954	0	y
OG0000955	0	y
OG0000956	0.003	y
OG0000984	0.021	y
OG0000985	0.044	y
OG0000989	0	y
OG0000990	0.002	y
OG0000991	0.025	y
OG0000994	0.005	y
OG0000996	0.008	y
OG0000997	0	y
OG0000998	0.021	y
OG0001000	0.005	y
OG0001001	0.006	y
OG0001002	0.006	y
OG0001003	0.025	y
OG0001005	0.019	y
OG0001007	0	y
OG0001008	0	y
OG0001009	0.021	y
OG0001012	0	y
OG0001014	0	y
OG0001016	0.005	y
OG0001017	0	y
OG0001019	0	y
OG0001021	0.025	y
OG0001022	0.009	y
OG0001023	0	y
OG0001024	0	y
OG0001026	0.006	y
OG0001027	0.006	y
OG0001028	0	y
OG0001030	0.044	y
OG0001031	0.015	y
OG0001032	0.021	y
OG0001033	0	y
OG0001037	0.009	y
OG0001040	0.016	y
OG0001043	0.005	y
OG0001044	0	y
OG0001049	0	y
OG0001051	0	y
OG0001052	0	y
OG0001054	0.025	y
OG0001060	0	y
OG0001062	0.005	y
OG0001063	0	y
OG0001064	0	y
OG0001067	0.002	y
OG0001072	0.005	y
OG0001073	0	y
OG0001077	0.021	y
OG0001080	0.009	y
OG0001082	0.001	y
OG0001083	0.009	y
OG0001085	0.016	y
OG0001087	0	y
OG0001089	0	y
OG0001090	0	y
OG0001091	0.005	y
OG0001092	0	y
OG0001093	0.031	y
OG0001094	0.021	y
OG0001096	0.005	y
OG0001097	0.048	y
OG0001098	0.048	y
OG0001102	0.011	y
OG0001103	0	y
OG0001104	0	y
OG0001109	0	y
OG0001110	0	y
OG0001111	0.009	y
OG0001112	0.025	y
OG0001113	0.031	y
OG0001115	0.001	y
OG0001116	0.048	y
OG0001121	0	y
OG0001122	0	y
OG0001123	0.025	y
OG0001125	0.005	y
OG0001127	0.006	y
OG0001129	0.002	y
OG0001131	0.044	y
OG0001135	0	y
OG0001137	0	y
OG0001139	0	y
OG0001142	0.048	y
OG0001146	0	y
OG0001149	0.002	y
OG0001151	0.021	y
OG0001152	0.021	y
OG0001155	0.028	y
OG0001158	0.005	y
OG0001160	0.002	y
OG0001162	0.005	y
OG0001165	0.021	y
OG0001166	0.025	y
OG0001168	0.001	y
OG0001170	0.025	y
OG0001177	0.002	y
OG0001179	0.024	y
OG0001183	0.005	y
OG0001186	0.025	y
OG0001191	0.031	y
OG0001193	0.025	y
OG0001200	0.002	y
OG0001201	0.002	y
OG0001206	0.035	y
OG0001207	0	y
OG0001209	0.035	y
OG0001210	0.006	y
OG0001211	0.005	y
OG0001214	0	y
OG0001216	0	y
OG0001232	0.024	y
OG0001236	0.005	y
OG0001238	0.009	y
OG0001243	0	y
OG0001249	0.005	y
OG0001252	0.025	y
OG0001253	0.025	y
OG0001258	0	y
OG0001259	0.024	y
OG0001264	0	y
OG0001266	0	y
OG0001271	0.001	y
OG0001276	0	y
OG0001277	0.024	y
OG0001279	0.005	y
OG0001280	0	y
OG0001282	0.005	y
OG0001289	0.002	y
OG0001295	0.016	y
OG0001297	0.005	y
OG0001310	0.016	y
OG0001313	0	y
OG0001314	0	y
OG0001315	0.005	y
OG0001316	0.005	y
OG0001320	0.024	y
OG0001321	0.005	y
OG0001322	0.005	y
OG0001325	0.007	y
OG0001326	0	y
OG0001331	0.002	y
OG0001334	0.005	y
OG0001339	0.005	y
OG0001340	0.016	y
OG0001344	0.025	y
OG0001345	0.005	y
OG0001346	0.025	y
OG0001347	0.025	y
OG0001348	0	y
OG0001349	0.025	y
OG0001350	0.005	y
OG0001353	0	y
OG0001354	0.025	y
OG0001359	0.009	y
OG0001360	0	y
OG0001366	0.016	y
OG0001370	0.005	y
OG0001375	0.024	y
OG0001376	0.005	y
OG0001380	0.005	y
OG0001384	0.005	y
OG0001385	0.024	y
OG0001392	0.025	y
OG0001396	0.025	y
OG0001397	0.048	y
OG0001398	0	y
OG0001399	0.005	y
OG0001401	0.025	y
OG0001407	0.025	y
OG0001409	0.002	y
OG0001412	0.005	y
OG0001413	0.016	y
OG0001417	0.025	y
OG0001419	0.002	y
OG0001422	0.011	y
OG0001426	0.016	y
OG0001427	0.005	y
OG0001431	0.016	y
OG0001432	0	y
OG0001435	0.024	y
OG0001436	0.011	y
OG0001437	0.048	y
OG0001438	0.016	y
OG0001440	0.016	y
OG0001441	0.016	y
OG0001442	0.005	y
OG0001446	0.005	y
OG0001451	0.005	y
OG0001452	0.016	y
OG0001454	0.025	y
OG0001455	0.005	y
OG0001456	0	y
OG0001458	0.005	y
OG0001461	0.005	y
OG0001466	0.016	y
OG0001467	0.002	y
OG0001469	0	y
OG0001470	0.025	y
OG0001473	0	y
OG0001476	0.015	y
OG0001481	0.001	y
OG0001484	0	y
OG0001486	0.005	y
OG0001487	0.025	y
OG0001488	0.005	y
OG0001491	0	y
OG0001493	0.005	y
OG0001495	0.005	y
OG0001497	0.005	y
OG0001498	0	y
OG0001500	0.025	y
OG0001501	0.024	y
OG0001502	0.016	y
OG0001506	0.009	y
OG0001507	0.002	y
OG0001509	0.024	y
OG0001511	0.005	y
OG0001512	0	y
OG0001513	0.005	y
OG0001514	0	y
OG0001515	0.009	y
OG0001517	0.016	y
OG0001520	0.005	y
OG0001521	0.007	y
OG0001523	0.005	y
OG0001525	0.005	y
OG0001529	0.025	y
OG0001530	0.024	y
OG0001534	0	y
OG0001535	0.025	y
OG0001536	0.021	y
OG0001537	0.025	y
OG0001538	0.005	y
OG0001539	0.009	y
OG0001540	0	y
OG0001541	0.024	y
OG0001546	0.005	y
OG0001547	0.002	y
OG0001548	0	y
OG0001550	0.005	y
OG0001552	0.024	y
OG0001553	0.024	y
OG0001557	0.025	y
OG0001559	0.025	y
OG0001561	0.024	y
OG0001562	0.021	y
OG0001563	0	y
OG0001566	0.002	y
OG0001567	0.005	y
OG0001574	0	y
OG0001576	0	y
OG0001579	0.005	y
OG0001584	0	y
OG0001585	0.024	y
OG0001586	0.025	y
OG0001587	0.002	y
OG0001588	0.025	y
OG0001594	0.024	y
OG0001596	0	y
OG0001598	0.005	y
OG0001600	0.024	y
OG0001601	0.005	y
OG0001602	0.016	y
OG0001608	0.025	y
OG0001609	0.025	y
OG0001610	0.002	y
OG0001614	0.025	y
OG0001615	0.025	y
